Colonizer,Colony,Latitude_Colony,Longitude_Colony,Latitude_Colonizer,Longitude_Colonizer,Language_Colony,Family_Colony,Language_Colonizer,Family_Colonizer
Austria,Malaysia*,4.210484,101.975766,47.516231,14.550072,malay, Austronesian,german, Indo-European
Denmark*,India,20.593684,78.96288,56.26392,9.501785,hindi, Indo-European ,danish,  Indo-European
Denmark*,India,20.593684,78.96288,56.26392,9.501785,hindi, Indo-European ,english, Indo-European
Denmark*,United States Virgin Islands*,18.335765,-64.896335,56.26392,9.501785,english, Indo-European,danish,  Indo-European
Denmark*,United States Virgin Islands*,18.335765,-64.896335,56.26392,9.501785,english, Indo-European,english, Indo-European
Denmark*,Norway*,60.472024,8.468946,56.26392,9.501785,norwegian, Indo-European,danish,  Indo-European
Denmark*,Norway*,60.472024,8.468946,56.26392,9.501785,norwegian, Indo-European,english, Indo-European
Denmark*,Latvia,56.879635,24.603189,56.26392,9.501785,latvian, Indo-European,danish,  Indo-European
Denmark*,Latvia,56.879635,24.603189,56.26392,9.501785,latvian, Indo-European,english, Indo-European
Denmark*,Latvia,56.879635,24.603189,56.26392,9.501785,russian, Indo-European,danish,  Indo-European
Denmark*,Latvia,56.879635,24.603189,56.26392,9.501785,russian, Indo-European,english, Indo-European
Denmark*,Faroe Islands*,61.892635,-6.911806,56.26392,9.501785,faroese, Indo-European,danish,  Indo-European
Denmark*,Faroe Islands*,61.892635,-6.911806,56.26392,9.501785,faroese, Indo-European,english, Indo-European
Denmark*,Greenland*,71.706936,-42.604303,56.26392,9.501785,greenlandic, Eskimo-Aleut,danish,  Indo-European
Denmark*,Greenland*,71.706936,-42.604303,56.26392,9.501785,greenlandic, Eskimo-Aleut,english, Indo-European
Denmark*,Iceland,64.963051,-19.020835,56.26392,9.501785,icelandic, Indo-European,danish,  Indo-European
Denmark*,Iceland,64.963051,-19.020835,56.26392,9.501785,icelandic, Indo-European,english, Indo-European
Denmark*,Ghana,7.946527,-1.023194,56.26392,9.501785,english, Indo-European,danish,  Indo-European
Denmark*,Ghana,7.946527,-1.023194,56.26392,9.501785,english, Indo-European,english, Indo-European
